"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C03622V04362","Country","C02293V02763","Direction","UNIT","VALUE"
"ASA03","Air and Sea Travel","2010","2010","QA","Qatar","1","Arrivals","Thousand","0"
"ASA03","Air and Sea Travel","2010","2010","QA","Qatar","2","Departures","Thousand","0"
"ASA03","Air and Sea Travel","2010","2010","RO","Romania","1","Arrivals","Thousand","30.9"
"ASA03","Air and Sea Travel","2010","2010","RO","Romania","2","Departures","Thousand","28.7"
"ASA03","Air and Sea Travel","2010","2010","SE","Sweden","1","Arrivals","Thousand","51.1"
"ASA03","Air and Sea Travel","2010","2010","SE","Sweden","2","Departures","Thousand","51.2"
"ASA03","Air and Sea Travel","2010","2010","SI","Slovenia","1","Arrivals","Thousand","1"
"ASA03","Air and Sea Travel","2010","2010","SI","Slovenia","2","Departures","Thousand","1"
"ASA03","Air and Sea Travel","2010","2010","SK","Slovakia","1","Arrivals","Thousand","45.8"
"ASA03","Air and Sea Travel","2010","2010","SK","Slovakia","2","Departures","Thousand","45.4"
"ASA03","Air and Sea Travel","2010","2010","TR","Turkey","1","Arrivals","Thousand","85.1"
"ASA03","Air and Sea Travel","2010","2010","TR","Turkey","2","Departures","Thousand","83.6"
"ASA03","Air and Sea Travel","2010","2010","US","United States","1","Arrivals","Thousand","870.9"
"ASA03","Air and Sea Travel","2010","2010","US","United States","2","Departures","Thousand","880.8"
"ASA03","Air and Sea Travel","2010","2010","XB","Great Britain","1","Arrivals","Thousand","6086.5"
"ASA03","Air and Sea Travel","2010","2010","XB","Great Britain","2","Departures","Thousand","6105.3"
"ASA03","Air and Sea Travel","2010","2010","ZZEUBQAC","Other Europe (33)","1","Arrivals","Thousand","4.2"
"ASA03","Air and Sea Travel","2010","2010","ZZEUBQAC","Other Europe (33)","2","Departures","Thousand","3.7"
"ASA03","Air and Sea Travel","2010","2010","ZZZ11","Other Countries(43)","1","Arrivals","Thousand","37.9"
"ASA03","Air and Sea Travel","2010","2010","ZZZ11","Other Countries(43)","2","Departures","Thousand","37.7"
"ASA03","Air and Sea Travel","2010","2010","ZZZ13","Other transatlantic countries(2)","1","Arrivals","Thousand","0.8"
"ASA03","Air and Sea Travel","2010","2010","ZZZ13","Other transatlantic countries(2)","2","Departures","Thousand","0.5"
"ASA03","Air and Sea Travel","2011","2011","-","All countries","1","Arrivals","Thousand","13049.7"
"ASA03","Air and Sea Travel","2011","2011","-","All countries","2","Departures","Thousand","13109.7"
"ASA03","Air and Sea Travel","2011","2011","AE","United Arab Emirates","1","Arrivals","Thousand","114.9"
"ASA03","Air and Sea Travel","2011","2011","AE","United Arab Emirates","2","Departures","Thousand","114.3"
"ASA03","Air and Sea Travel","2011","2011","AT","Austria","1","Arrivals","Thousand","62"
"ASA03","Air and Sea Travel","2011","2011","AT","Austria","2","Departures","Thousand","62.3"
"ASA03","Air and Sea Travel","2011","2011","BE","Belgium","1","Arrivals","Thousand","170.6"
"ASA03","Air and Sea Travel","2011","2011","BE","Belgium","2","Departures","Thousand","171.9"
"ASA03","Air and Sea Travel","2011","2011","BG","Bulgaria","1","Arrivals","Thousand","22.3"
"ASA03","Air and Sea Travel","2011","2011","BG","Bulgaria","2","Departures","Thousand","22"
"ASA03","Air and Sea Travel","2011","2011","CA","Canada","1","Arrivals","Thousand","49"
"ASA03","Air and Sea Travel","2011","2011","CA","Canada","2","Departures","Thousand","50"
